,N-Number,Registered
158840,N14902,2001-09-21
158894,N39418,2008-03-23
158961,N14250,1999-12-12
159217,N958DN,2012-02-04
159434,N506JB,2000-07-05
159569,N24202,2000-06-10
159666,N561JB,2003-03-04
159711,N566JB,2003-08-07
159910,N651JB,2007-01-11
159948,N949AT,2000-01-24
160067,N766SW,2000-05-02
160120,N361SW,1992-06-18
160189,N787SA,2000-11-09
160288,N996AT,2002-07-05
160369,N533US,1988-09-30
160467,N933AT,2000-06-02
160536,N316NB,2000-07-05
160678,N201AA,1959-04-17
160740,N214WN,2005-06-06
160830,N392DA,2000-05-28
160837,N990DL,1991-11-14
160877,N341NB,2002-06-26
161054,N527VA,2012-05-21
161296,N179JB,2005-10-01
161349,N331NW,1992-06-22
161350,N596UA,1998-03-17
161423,N27205,2000-07-22
161424,N660AW,2000-07-05
161432,N248WN,2006-07-25
161768,N675UA,2000-07-28
161771,N769SW,2000-06-22
161827,N11165,2004-06-26
161843,N624VA,2006-05-31
162052,N773SA,2000-07-05
162134,N523VA,2007-07-10
162191,N462UA,2000-09-22
162271,N348NB,2002-10-08
162423,N11206,2000-07-25
162534,N478WN,2004-08-14
162676,N13988,2000-05-27
162850,N11184,2005-05-27
163158,N14998,2000-08-30
163169,N833UA,2001-02-12
163298,N464UA,2000-09-22
163341,N75861,2001-08-07
163512,N78509,2008-02-21
163563,N489UA,2002-04-11
163850,N458UA,2000-03-10
163876,N329NB,2001-08-02
164086,N246LV,2006-06-30
164092,N508JB,2007-05-09
164217,N960AT,2001-03-30
164308,N76265,2001-08-27
164319,N77295,2005-08-30
164340,N751UW,2000-09-28
164348,N220WN,2005-07-29
164437,N222WN,2005-08-26
164591,N7713A,2005-06-15
164606,N471UA,2001-05-11
164691,N629VA,2008-01-23
164742,N623VA,2009-02-06
164750,N191UW,2001-04-06
164778,N406UA,1994-04-08
164827,N974AT,2002-02-22
164907,N975AT,2002-03-20
165048,N122US,2000-10-16
165130,N892AT,2004-08-02
165154,N925AT,2000-11-07
165319,N997AT,2002-11-07
165401,N744EV,2004-07-23
165550,N37253,2000-09-16
165551,N6711M,2000-09-27
165616,N848UA,2002-03-15
165803,N583AA,1991-09-07
166038,N13979,1999-11-21
166056,N979EV,2003-01-14
166160,N37255,2000-10-21
166186,N953AT,2000-09-11
166231,N648JB,2006-12-08
166276,N745SW,1999-03-30
166353,N487WN,2004-10-05
166659,N907WN,2008-01-31
166662,N13994,2000-07-21
166715,N525VA,2007-12-04
166794,N318NB,2000-10-16
166815,N908WN,2008-02-06
166824,N517JB,2000-12-06
166909,N909WN,2008-02-18
166914,N910WN,2010-05-07
167029,N975DL,1991-03-12
167076,N12563,2002-06-29
167285,N764US,2000-12-06
167317,N758US,2000-11-06
167325,N488UA,2002-03-26
167342,N915WN,2008-03-13
167383,N972DL,1991-02-19
167513,N918WN,2008-04-08
167668,N920WN,2008-04-30
167706,N921WN,2008-05-02
167779,N476WN,2004-08-05
167795,N717SA,1998-07-23
167985,N925WN,2008-06-30
168007,N293WN,2007-09-18
168012,N13914,2001-05-11
168013,N295WN,2007-10-27
168015,N900WN,2007-12-09
168075,N905WN,2008-01-19
168090,N294WN,2007-09-25
168094,N297WN,2007-10-26
168151,N11548,2002-02-22
168174,N33266,2001-08-27
168178,N562WN,2000-12-12
168179,N3738B,2000-12-13
168395,N936WN,2009-05-19
168457,N373NW,2002-01-24
168520,N428WN,2002-11-13
168573,N938WN,2009-06-07
168614,N77258,2000-11-14
168823,N985AT,2001-06-18
168864,N715UW,1999-08-30
168881,N946WN,2010-04-24
168893,N449WN,2003-12-19
168900,N947WN,2010-05-29
168930,N3756,2001-08-11
168934,N949WN,2010-07-30
169033,N950WN,2010-08-05
169055,N953WN,2014-02-03
169092,N955WN,2011-03-28
169136,N956WN,2011-04-27
169204,N957WN,2011-05-20
169248,N959WN,2011-09-09
169352,N960WN,2011-07-22
169355,N590UA,1997-12-31
169422,N724EV,2004-03-18
169428,N963WN,2011-07-29
169465,N964WN,2011-08-26
169466,N965WN,2011-09-13
169540,N1201P,1998-04-17
169633,N966WN,2011-09-22
169774,N134EV,2009-03-27
169823,N77019,2007-03-21
169996,N410WN,2001-09-24
170126,N424UA,1995-03-07
170243,N7735A,2012-08-29
170393,N16999,2000-09-27
170610,N320NB,2001-01-08
170750,N713EV,2003-02-19
171284,N567WN,2015-04-16
171285,N569WN,2015-04-28
171298,N570WN,2015-05-11
171304,N564WN,2015-03-30
171431,N57870,2003-05-23
171607,N216WR,2005-06-25
171675,N16919,2001-02-24
171790,N784SW,2000-10-08
171871,N218WN,2005-06-30
172063,N957AT,2000-01-16
172167,N676UA,2001-04-22
172443,N221WN,2005-10-31
172683,N867AS,2001-04-10
172827,N306DQ,2009-01-08
173275,N557AS,2006-08-06
173344,N520JB,2001-05-11
173482,N24702,1998-04-15
173485,N14923,2000-09-25
173487,N977AT,2002-05-11
173533,N955AT,2000-11-15
173697,N942AT,1999-09-16
173755,N327NB,2001-06-05
173766,N24715,1998-10-20
173820,N192UW,2001-06-05
173911,N944AT,1999-10-16
173950,N839UA,2001-07-02
173980,N167US,2001-05-11
174048,N687SW,1993-09-03
174104,N993DL,1991-12-13
174251,N665WN,1994-12-16
174325,N14174,2004-12-10
174405,N38727,1999-07-13
174440,N35260,2001-06-07
174501,N738US,2000-07-05
174528,N588AS,2015-10-27
174650,N745VJ,2000-09-22
174776,N443UA,1998-06-12
174837,N993AT,2002-06-21
174902,N641UA,1991-04-18
175622,N274JB,2007-06-22
175742,N605SW,1995-04-27
176276,N17233,1999-07-22
176627,N644SW,1997-03-31
177112,N723UW,1999-12-06
177193,N768US,2001-01-08
177480,N33286,2004-05-19
177968,N219WN,2005-07-08
178106,N202AA,1989-10-25
178303,N203WN,2005-02-22
178669,N663AW,2001-05-11
178764,N7709A,2005-01-31
178846,N53441,2009-09-03
178984,N275WN,2007-05-02
179026,N276WN,2007-05-09
179156,N17245,1999-11-04
179655,N6705Y,2000-04-05
179698,N11192,2005-10-08
179822,N613JB,2005-06-16
180126,N467UA,2001-01-08
180129,N598JB,2004-11-19
180440,N713SW,1998-06-08
181011,N720WN,1998-09-29
181151,N337NW,1993-01-11
181297,N623JB,2005-08-11
181623,N16703,1998-04-07
181897,N37281,2003-12-18
181929,N7722B,2006-02-20
182210,N13227,1999-04-29
182333,N422UA,1995-03-07
183250,N217JC,2005-06-29
183401,N360SW,1992-06-15
184013,N277WN,2007-05-21
184969,N923AT,2005-09-26
185197,N367SW,1993-05-07
185401,N7732A,2012-07-16
185593,N14977,1999-10-23
185790,N16112,2005-02-25
185849,N33264,2001-08-09
185873,N267WN,2007-02-25
185898,N14230,1999-06-15
186867,N41135,1999-02-18
187032,N675AW,2005-04-01
187072,N16732,1999-08-22
187333,N921DL,1988-05-28
187424,N824UA,1999-03-15
187645,N27152,2003-11-21
187670,N328NW,1992-05-11
188043,N33284,2004-03-26
188144,N14171,2004-10-22
188280,N15572,2002-09-14
188490,N12172,2004-10-28
188540,N14173,2004-11-26
188547,N906DA,1995-07-13
188549,N17115,2005-02-25
188631,N12175,2004-12-17
188700,N722EV,2011-08-27
188828,N11121,2005-02-25
188946,N712US,1999-08-30
189210,N609SW,1995-08-04
189276,N614SW,1995-09-29
189310,N12166,2004-07-29
189319,N13202,2006-04-27
189355,N631VA,2007-05-26
189511,N635SW,1996-09-03
189639,N788SA,2000-11-17
190187,N829UA,2000-06-01
190292,N672UA,1999-12-21
190300,N69804,2013-09-14
190305,N68807,2013-11-12
190311,N69810,2013-12-17
190322,N69813,2014-01-29
190334,N69816,2014-02-19
190338,N69819,2014-03-18
190346,N69826,2014-06-03
190354,N69829,2014-06-21
190368,N69835,2014-10-04
190378,N66808,2013-11-15
190379,N66814,2014-02-11
190399,N68823,2014-04-28
190400,N67827,2014-06-11
190406,N69830,2014-06-26
190411,N68842,2015-01-27
190412,N66803,2013-09-20
190413,N64809,2013-12-04
190431,N67815,2014-02-21
190432,N69818,2014-03-18
190433,N68821,2014-04-14
190458,N68834,2014-09-22
190467,N753US,2000-10-16
190487,N64844,2015-02-16
190497,N67845,2015-02-18
190697,N691WN,1993-11-05
190977,N11181,2005-04-14
191117,N668AW,2002-05-16
191146,N225WN,2005-12-07
191243,N530AS,2010-04-28
191638,N733SA,1999-07-19
191720,N752US,2000-09-28
191779,N626AW,1989-10-16
191861,N361VA,2013-03-19
192618,N242WN,2006-06-11
192740,N914DE,1993-01-30
193163,N12163,2004-05-28
194384,N659JB,2007-07-19
194387,N7728D,2006-06-12
194468,N946AT,1999-11-05
194886,N905DE,1992-05-06
195126,N838AW,2005-11-18
195357,N278WN,2007-05-30
195510,N34111,2005-02-25
196320,N706JB,2008-03-28
196354,N709JB,2008-05-08
196403,N712JB,2008-06-13
196502,N746JB,2008-09-25
196507,N952AT,2000-07-03
196638,N766JB,2008-12-12
196822,N900PC,1997-01-21
196920,N775JB,2009-02-21
197064,N238WN,2006-05-21
197116,N794JB,2011-11-18
197149,N796JB,2012-03-15
197172,N57016,2000-05-04
197182,N908DE,1992-11-01
197189,N805JB,2012-06-09
197217,N806JB,2012-10-04
197778,N427UA,1995-05-19
197790,N430UA,1996-02-27
197848,N454UA,1999-12-06
197941,N834JB,2013-09-28
198163,N363NW,1999-01-04
198174,N430WN,2002-12-15
198280,N13138,1999-12-07
198351,N474UA,2001-07-02
198496,N37470,2013-03-24
198641,N324US,1992-02-24
198867,N76054,2000-12-01
199021,N17128,1998-03-19
199151,N7811F,2013-08-07
199235,N26141,2005-02-25
199272,N627JB,2005-11-04
199462,N481WN,2004-09-01
199480,N525US,1987-04-14
199512,N470AA,1988-09-22
199576,N471AA,1988-09-27
199606,N472AA,1988-10-05
199616,N73251,2000-08-31
199985,N37252,2000-09-12
200004,N236WN,2006-04-21
200091,N954JB,2015-08-13
200438,N816UA,1998-09-28
200724,N926DL,1988-10-13
200865,N27724,1999-05-26
200903,N750EV,2004-09-02
201032,N312US,1990-03-14
201092,N709EV,2002-12-05
201111,N910DL,1987-10-19
201114,N712EV,2003-01-09
201192,N884AS,2001-10-24
201333,N730EV,2004-04-08
201416,N657UA,1993-02-28
201705,N17229,1999-06-03
201737,N176PQ,2008-04-29
202240,N936DL,1989-03-16
202249,N752SW,1999-10-06
202272,N17133,1998-12-22
202288,N762SW,2000-04-11
202390,N765SW,2000-04-24
202516,N57855,2004-01-09
202548,N37293,2005-07-06
202722,N477WN,2004-08-10
202738,N74856,2004-01-27
202821,N228WN,2005-12-14
202872,N230WN,2006-02-08
202962,N76288,2004-06-03
202996,N363SW,1993-02-10
203022,N360NW,1998-11-23
203036,N849UA,2002-03-08
203133,N425LV,2002-04-05
203184,N350NA,1996-11-03
203201,N490WN,2004-11-01
203229,N37298,2005-11-18
203464,N240WN,2006-06-02
203479,N479AA,1988-11-09
203562,N727SW,1999-05-20
203818,N245WN,2006-06-29
203897,N913DL,1988-02-10
204269,N483AS,2015-09-03
204304,N486AS,2015-09-13
204339,N487AS,2015-10-26
204413,N474AS,2015-06-27
204455,N955DL,1990-03-21
204537,N467AS,2014-05-18
204568,N468AS,2014-07-24
204632,N7712G,2005-05-13
204677,N457AS,2014-02-08
204678,N459AS,2014-03-17
204729,N461AS,2014-03-30
204730,N462AS,2014-04-22
204775,N981DL,1991-05-21
204777,N983DL,1991-06-15
204796,N512UA,1990-07-16
204895,N78001,1998-09-24
205107,N14143,2005-02-25
205294,N957DL,1990-04-18
205428,N684WN,1992-11-11
205519,N959DL,1990-05-13
205568,N965DL,1990-08-17
205872,N912DE,1992-12-17
205962,N939DL,1989-05-22
206263,N36247,1999-12-01
206813,N473UA,2001-06-05
206874,N543UA,1991-10-29
206921,N587UA,1994-11-01
206928,N535UA,1991-06-12
207163,N12109,1994-12-05
207236,N973DL,1991-03-09
207310,N630VA,2007-04-28
207333,N809AW,1999-12-06
207420,N347NB,2002-09-19
207466,N547UA,1991-12-24
207467,N661AW,2000-09-22
207576,N321US,1992-02-24
207636,N994DL,1991-12-13
207645,N669SW,1992-03-03
207697,N646SW,1997-04-04
207830,N342NW,1996-06-25
207994,N26226,1998-12-21
208134,N408UA,1994-04-08
208285,N413UA,1994-07-19
208400,N12114,1995-07-15
208426,N528AA,1986-02-05
208546,N959AT,2001-03-21
209071,N769UA,1995-06-27
209072,N936AT,2000-02-03
209251,N447WN,2003-11-11
209964,N482AA,1988-12-03
209996,N353NW,1998-04-14
210055,N13975,1999-09-25
210160,N475AA,1988-10-21
210185,N964DL,1990-09-07
210214,N7812G,2001-11-29
210689,N635VA,2008-02-20
210734,N357NW,1998-07-02
210879,N17146,2003-08-27
211020,N703SW,1997-12-30
211021,N708SW,2009-12-09
211077,N343NB,2002-07-17
211180,N588UA,1993-08-16
211347,N654SW,1997-08-13
212375,N12125,1998-01-30
212406,N718EV,2003-05-09
212434,N509JB,2000-09-05
212566,N451UA,1998-09-28
212906,N338NW,1996-08-16
213336,N75433,2009-03-16
213381,N78511,2008-05-10
213424,N931WN,2009-02-05
213464,N38446,2012-01-13
213703,N27239,1999-10-14
213747,N14121,1997-07-29
214268,N585JB,2004-02-13
214335,N67058,2002-01-23
214526,N932WN,2009-03-12
214584,N710SW,1998-03-28
214999,N901WN,2007-12-10
215110,N595UA,1998-02-04
215225,N38473,2013-05-07
215289,N36476,2013-06-24
215303,N34131,1998-06-02
215326,N28478,2013-07-23
215360,N355NW,1998-05-27
215584,N356NW,1998-06-12
215586,N376NW,2002-08-15
215634,N284JB,2008-01-24
215786,N323JB,2010-09-30
215805,N358JB,2013-04-29
215866,N374JB,2013-06-27
216063,N754EV,2004-11-23
216080,N37464,2012-12-18
216081,N41140,2000-02-25
216083,N811UA,1998-08-03
216122,N37465,2013-01-07
216155,N37466,2013-01-28
216229,N937DL,1989-05-08
216248,N38467,2013-02-11
216311,N36469,2013-03-08
216376,N665DN,1991-02-25
216409,N37471,2013-04-03
216472,N808UA,1998-04-14
216484,N402WN,2001-03-27
216564,N36472,2013-04-29
216576,N75435,2009-05-28
216810,N838UA,2001-05-11
216871,N663UA,1993-08-28
216994,N702UW,1998-11-23
217136,N361NW,1999-01-04
217372,N58101,1994-05-12
217388,N948DL,1989-12-19
217458,N949DL,1990-01-26
217478,N680AW,2005-12-21
217529,N12136,2005-02-25
217835,N12216,1998-07-31
218127,N33289,2004-07-23
218445,N938AT,2006-04-18
218468,N670UA,1998-04-11
218626,N559JB,2003-03-04
218628,N654AW,1999-08-30
219012,N386DA,1999-12-20
219242,N721UW,1999-10-20
219316,N615SW,1995-10-06
219355,N77014,1999-10-20
219638,N546AS,2005-01-31
219653,N14237,1999-09-18
219716,N54241,1999-10-19
219867,N354NW,1998-05-11
219923,N808AW,1999-10-12
220076,N786SW,2000-10-31
220552,N11113,2005-02-25
220633,N831UA,2000-09-22
220970,N425UA,1995-04-10
220994,N462WN,2004-06-01
221103,N411WN,2001-09-15
221122,N776WN,2000-07-27
221198,N817AW,2000-12-06
221290,N283JB,2007-11-14
221461,N250WN,2006-08-09
221579,N730US,2000-03-20
221587,N964AT,2001-06-30
221735,N431UA,1996-04-10
221989,N468AA,1988-09-19
222376,N257WN,2006-09-23
222408,N744SW,2000-05-10
222595,N475UA,2001-07-12
222628,N13550,2002-03-23
222650,N391DA,2000-05-05
222745,N335NB,2002-03-15
222785,N737US,2000-07-05
222825,N482WN,2004-09-08
223032,N460UA,2000-07-05
223287,N858AS,2000-09-01
223487,N14993,2000-07-15
223517,N7703A,2014-07-17
223644,N362SW,1992-07-09
223665,N262WN,2006-12-20
223767,N264LV,2007-01-23
223893,N626SW,1996-05-01
223962,N767UW,2000-12-14
224049,N269WN,2007-03-07
224050,N270WN,2006-10-06
224203,N662AW,2000-09-22
224230,N485WN,2004-09-21
224245,N733UW,2000-04-28
224265,N117UW,2000-07-05
224275,N35204,2000-07-13
224450,N119US,2000-09-05
224501,N255WN,2006-09-12
224594,N640AW,1994-04-08
224657,N78524,2010-08-23
224735,N919DL,1988-05-11
224756,N746UW,2000-09-22
224765,N189UW,2001-03-01
224883,N760EV,2005-05-20
224928,N11544,2002-01-26
224968,N627SW,1996-05-06
224981,N19141,2000-06-30
225019,N7737E,2014-07-24
225142,N146PQ,2007-10-29
225273,N781WN,2000-08-30
225316,N436AA,1993-02-08
225353,N815AW,2000-10-16
225424,N38454,2012-06-08
225522,N67052,2000-09-22
225540,N749US,2000-09-28
225689,N510JB,2000-09-22
225697,N408WN,2001-09-02
225753,N38257,2000-11-14
225779,N977DL,1991-04-12
225864,N289CT,2007-08-14
225912,N997DL,1992-01-22
226151,N15986,2000-04-28
226242,N729SW,1999-05-24
226451,N783SW,2000-10-03
226591,N847UA,2002-01-15
226619,N757UW,2000-11-06
227200,N762US,2000-12-06
227245,N766US,2000-12-14
227321,N38458,2012-09-21
227560,N37462,2012-11-19
227683,N321NB,2001-02-12
227877,N822AW,2001-02-12
227916,N605QX,2002-01-12
228007,N11526,2001-04-07
228070,N491AA,1989-02-17
228141,N413WN,2001-10-03
228192,N7718B,2005-12-05
228223,N75428,2008-12-08
228335,N417UA,1994-10-31
228389,N603AT,2001-07-20
228595,N852UA,2002-04-16
228599,N794SW,2001-01-12
228609,N795SW,2001-02-22
228658,N15527,2001-04-06
228665,N7717D,2005-11-02
228715,N17122,1997-08-12
228795,N401WN,2001-03-26
228848,N586AA,1991-08-27
228926,N7701B,2014-05-05
228948,N768JB,2009-01-29
228985,N621VA,2006-02-24
228986,N30401,2001-05-25
228988,N987AT,2001-05-24
229046,N529UA,1991-03-22
229087,N403WN,2001-04-12
229523,N78501,2006-07-16
229929,N851UA,2002-03-28
230212,N7725A,2006-04-17
230355,N429WN,2002-12-16
230386,N912WN,2008-03-01
230398,N7704B,2012-06-04
230425,N714US,1999-08-30
230745,N914WN,2008-03-07
230869,N791SW,2000-12-23
231218,N919WN,2008-04-29
231276,N922WN,2008-05-28
231429,N419AS,2013-03-27
231497,N926AT,2003-11-12
232103,N701GS,1997-12-19
232108,N707EV,2002-10-09
232157,N406WN,2001-06-27
232508,N57862,2001-09-05
232783,N3748Y,2001-06-08
232850,N756US,2000-11-06
232863,N935AT,2000-03-26
232866,N954AT,2000-10-17
233062,N66056,2001-06-26
233314,N7748A,2007-07-02
233435,N437AA,1993-03-04
233455,N477UA,2001-08-02
233543,N841UA,2001-08-02
233551,N182UW,2001-07-24
233624,N72405,2001-08-07
233679,N77261,2001-07-19
233782,N840UA,2001-07-12
233783,N178US,2001-07-12
233926,N75858,2004-03-19
234134,N76519,2010-01-16
234151,N77520,2010-08-13
234229,N330NB,2001-08-07
234770,N545UA,1991-11-13
235024,N7705A,2004-10-05
235093,N172US,2001-05-11
235096,N318JB,2010-06-30
235258,N364NW,1999-03-15
235259,N38403,2001-07-03
235281,N998AT,2002-11-27
235311,N365NW,1999-04-26
235334,N327NW,1992-04-13
235595,N553NW,2001-09-20
235773,N73406,2001-09-09
235854,N517AS,2009-01-06
236063,N37408,2001-09-28
236288,N837UA,2001-05-11
236648,N14905,2001-09-02
236829,N7815L,2014-01-14
237004,N332NB,2001-12-04
237248,N33714,1998-09-25
237255,N581AS,2007-05-14
237440,N904DL,1988-07-21
237461,N414UA,1994-10-31
237499,N76517,2008-09-05
237534,N398CA,2003-08-22
237618,N716UW,1999-08-30
237646,N665UA,1998-07-26
237718,N831AW,2001-12-03
237725,N366NW,1999-04-27
237727,N825AW,2001-07-12
237769,N930WN,2009-01-29
237807,N568AA,1987-06-15
237884,N600QX,2002-07-05
237890,N11536,2001-10-19
237988,N940DL,1989-06-10
238105,N429UA,1995-07-24
238107,N405UA,1994-01-26
238108,N486UA,2002-01-23
238155,N418WN,2001-11-12
238156,N32404,2001-07-17
238157,N412WN,2001-10-01
238174,N940WN,2009-06-23
238315,N537US,1996-02-20
238322,N982AT,2002-12-14
238353,N7715E,2005-08-25
238565,N939WN,2009-06-10
238743,N17126,1998-02-13
239117,N927AT,2000-10-13
239119,N344NB,2002-07-17
239504,N986DL,1991-10-21
239888,N606SW,1995-07-21
240326,N35407,2001-09-19
240414,N3760C,2001-10-03
240516,N872AS,2001-11-15
241136,N296WN,2007-10-22
241413,N69059,2002-02-11
241423,N16541,2001-12-14
241464,N700GS,1997-12-17
241610,N57869,2002-08-31
241703,N597UA,1999-01-10
241795,N77525,2010-08-25
241868,N534JB,2002-03-15
242038,N79402,2001-07-06
242079,N187US,2002-04-30
242155,N759EV,2005-05-06
242380,N185UW,2002-03-08
242442,N73283,2004-02-24
242455,N16170,2004-09-27
242624,N476UA,2001-07-24
242677,N917EV,2003-03-26
242846,N78060,2002-01-30
242847,N71411,2002-01-21
243149,N16546,2002-02-09
243234,N850UA,2002-03-08
243392,N830DN,2014-11-21
243412,N118US,2000-09-28
243589,N359SW,1992-06-03
243842,N336NB,2002-03-15
244174,N75851,2009-03-13
244187,N38424,2008-06-26
244302,N73276,2002-02-26
244313,N16234,1999-08-03
244350,N77865,2002-02-27
244464,N57852,2001-12-21
244618,N16911,2001-06-13
245158,N484UA,2002-01-15
245452,N465WN,2004-06-11
245750,N535JB,2002-04-11
245843,N26549,2002-03-23
245881,N76062,2002-03-21
245903,N186US,2002-04-16
246310,N650AW,1998-10-13
246402,N595JB,2004-10-15
246451,N853UA,2002-04-30
246513,N466AA,1988-09-03
246779,N826UA,1999-04-26
246976,N559UW,2012-09-18
247022,N720EV,2003-09-10
247077,N163US,2001-04-06
247204,N266WN,2007-02-09
247687,N769US,2001-01-08
247693,N717UW,1999-09-27
247694,N765US,2000-12-06
247696,N809UA,1998-06-12
247697,N806UA,1998-03-16
247698,N816AW,2000-11-06
247699,N819AW,2001-02-12
247751,N480AA,1988-11-15
247802,N968AT,2001-11-19
247900,N665AW,2002-01-24
247936,N513AA,1990-03-05
248133,N37474,2013-05-14
248251,N604QX,2001-12-07
248514,N728SW,1999-05-19
248734,N87507,2008-01-24
249085,N7734H,2012-07-18
249170,N424WN,2002-04-04
249447,N337NB,2002-03-26
249514,N878AS,2002-01-26
249704,N14228,1999-05-25
249787,N76522,2010-08-19
250061,N87531,2011-03-17
250389,N678CA,2007-09-10
250636,N375NC,2002-06-26
250933,N647SW,1997-06-07
250983,N657AW,1999-11-04
251247,N967DL,1990-12-05
251398,N860AS,2000-12-20
251415,N346NB,2002-09-19
252618,N448WN,2003-12-01
252663,N326NB,2001-06-05
253959,N903WN,2008-01-05
254206,N927EV,2003-09-24
254421,N37277,2002-03-26
255914,N434UA,1996-07-17
255990,N656UA,1993-01-19
256044,N528AS,2009-06-10
256127,N354NB,2002-11-08
256298,N162UW,2001-03-15
256427,N324NB,2001-05-11
256786,N911DL,1987-12-22
256836,N73275,2002-02-21
256861,N659UA,1993-04-01
256997,N438AA,1993-02-16
257027,N7745A,2007-05-24
257128,N273WN,2007-04-12
257311,N280WN,2007-06-20
257347,N281WN,2007-06-28
257366,N285WN,2007-08-03
257369,N17185,2005-06-17
257378,N27733,1999-09-05
257515,N288WN,2007-08-15
257564,N310NW,1990-03-14
257630,N645SW,1997-04-02
257637,N291WN,2007-09-09
257771,N343NW,1996-07-03
257841,N317US,1991-07-29
257903,N15910,2001-06-22
257958,N266JB,2007-02-16
258071,N21537,2001-11-09
258297,N16559,2002-06-14
258483,N551WN,2007-05-23
258589,N18102,2005-02-25
258633,N651SW,1997-08-06
259055,N405WN,2001-06-24
259230,N383SW,1994-05-16
259250,N364SW,1993-02-12
259336,N370NW,1999-08-03
259409,N12996,2000-08-13
259424,N806AW,1999-08-30
259529,N452WN,2004-03-03
259534,N75854,2002-01-30
259710,N832AW,2002-01-23
259719,N14920,2001-02-01
259864,N856AS,2000-09-01
260037,N741UW,2000-07-26
260082,N73860,2001-08-04
260161,N780SW,2000-08-26
260184,N468UA,2001-01-08
260195,N797MX,2001-03-22
260271,N748UW,2000-09-28
260345,N73256,2000-10-28
260466,N14953,1998-08-03
260510,N37287,2004-05-24
260587,N322NB,2001-03-15
